1,ust. hanan attaki dibilang provokatif gila sih ceramah yg gaul dan lembut gitu aja masih dipermasalahkan tapi dakwah emang selalu tantangan nabi aja gitu https://t.co/cdh7vfhaaf,anjashardian_
2,"@pakaipeci tidak boleh bubarkan pengajian sepihak, kalo sepihak tidak pancasialis, hancurkan itu oknum banser yg perkusi",NashrulBach
3,"ust. hanan attaki @hananattakilc salah satu ust. favorit saya.
hanya orang2 yang iri dan syirik yang tidak suka dengan beliau.. https://t.co/mrignzk2ac",AntoniWilly4
4,"heran, ustadz hanan attaki yg tutur katanya lemah lembut dan gaul begitu dipersekusi. yg boleh ngisi kajian sm mereka siapa sih?

kajian dibubarin, dangdutan diramein. na'udzubillah.",adesutama
5,@dahnilanzar klo riziq itu apa ya...ustadz atau apa ya...klo ustadz itu mulutnya dijaga...bukan sok2an ...suka meng-kafir2kan orang lain...sok suci...,HanafiSukamto
6,"☛ ust. firanda andirja wkt kajian di aceh dibubarkan fpi.
☛ ust. hanan attaki ketika kajian di tegal dibubarkan anshor/banser.

mngapa sesama muslim yg saling menebar kebaikan dihalangi? sngguh umat islam dngan yg lainnya itu brsaudara.
stop perselisihan!✋
#kitasatuindonesia https://t.co/mso9sqf3f2",adi_cerskenis
7,"apa yang salah dengan ceramah ustadz #hananattaki, selama ini saya selalu ngikutin ceramah2 beliau dan belum pernah saya temukan bahasa2 provokatif yang beliau sampaikan saat lagi ceramah. aneh. https://t.co/ov4megc6gh",titoel29
8,"ngeliat postingannya ustadz hanan di ig
jadinya tilawah dan do'a bersama dibawah pohon, masyaallah ademnya😍😍
#kolaborasipemuda #nojudgement #respecttoother",nirmala0404
9,@mardanialisera tausyiahnya membantu orangtua juga biar memahami anak milenial itu bgmn seharusnya. jazskallah khoir ustadz,kuro_marta
10,"@irhidayatulloh @si_ulpeh di bandung aja banser nya biasa biasa aja ga pernah tuh kajian di tsm atau al lathif ada penolakan dari banser malah genk motor banyak ikut kajian,apa banser bisa kaya gitu?",Febri39438789
11,"@nahdlatululama @lakpesdampbnu @rumadi04 @hariankompas selamat ya sudah berhasil bubarkan pengajian islam. 
sudah cari tau belum jadwal pengajian ustadz hanan attaki berikutnya?",rachmadhi
12,"@dahnilanzar semoga kedepan nya, setiap ada kajian, ustadz siapapun, dimana pun, dari kelompok apapun.. tidak ada lagi kelompok yg keberatan, sampai melampirkan surat ke polres setempat.",IbnSyuhada
13,"@kumparan ansor &amp; banser ormas sayap nu paling benar sejagat raya, paling toleran smpai anjing dibawa msk tdk apa2.
paling bisa jaga nkri,disuruh berangkat ke papua,eh malah mencret.

#85jutarakyattolakjokowi",ReporterTweetx
14,"@ustadtengkuzul kalo orang gak paham ilmu agama ngaku ustadz, ciri pki bukan zul?",AbyMaula
15,"@bangpino__ saya kira ust hanan attaki sudah dipersekusi fpi dan sedang dikasuskan penistaan agama karena bilang nabi pernah sesat. wah saya kudet. maaf yaa, alhamdulillah deh",labib_habibi
